age,country_region,device_type,education_background,course_level,course_category,week_of_year,sessions,time_spent_hours,videos_watched,quiz_attempts,assignments_submitted,forum_posts,avg_quiz_score,attendance_rate,completion_status,final_score
32.0,3,0,2,2,0,12.0,1.0,7.6,1.0,6.0,1.0,1.0,53.3,0.655,0.0,49.8
17.0,3,0,2,2,4,34.0,16.0,27.2,6.0,4.0,7.0,1.0,51.5,1.0,1.0,84.0
25.0,3,1,0,0,4,39.0,6.0,7.1,16.0,2.0,2.0,0.0,62.2,0.81,0.0,62.5
26.0,2,1,2,1,2,10.0,34.0,22.1,57.0,9.0,6.0,0.0,59.3,0.875,1.0,89.5
26.0,2,2,3,0,0,12.0,22.0,32.3,41.0,9.0,2.0,0.0,65.1,0.814,0.0,67.4
28.0,0,0,1,2,0,49.0,9.0,10.4,22.0,8.0,4.0,0.0,80.7,0.963,1.0,95.8
20.0,2,1,3,0,1,35.0,9.0,16.2,5.0,6.0,4.0,1.0,70.2,0.792,1.0,86.7
26.0,3,1,2,2,2,11.0,21.0,6.3,33.0,8.0,1.0,1.0,46.6,0.622,0.0,46.9
16.0,4,0,2,2,4,3.0,9.0,29.8,27.0,7.0,5.0,0.0,73.7,1.0,1.0,99.2
34.0,2,2,2,2,1,16.0,12.0,16.1,20.0,4.0,3.0,2.0,69.4,0.72,0.0,72.0
28.0,1,1,1,2,2,34.0,7.0,14.7,11.0,6.0,2.0,1.0,82.5,0.586,0.0,84.9
23.0,1,0,2,0,0,27.0,14.0,5.7,31.0,12.0,1.0,1.0,71.3,0.76,0.0,58.5
26.0,0,0,3,0,1,17.0,23.0,25.6,47.0,6.0,8.0,2.0,73.2,0.896,1.0,93.5
29.0,2,0,2,2,2,7.0,19.0,5.0,28.0,5.0,4.0,3.5,75.3,0.654,0.0,72.0
31.0,2,1,0,2,4,19.0,31.0,13.2,41.0,10.0,3.0,1.0,66.7,1.0,0.0,70.7
16.0,2,1,2,1,2,41.0,20.0,24.8,18.0,4.0,3.0,3.5,69.4,0.815,0.0,74.9
17.0,2,1,3,1,3,26.0,5.0,35.9,10.0,5.0,6.0,1.0,64.7,0.994,1.0,81.3
27.0,3,0,0,0,4,12.0,27.0,23.7,46.0,8.0,1.0,3.5,88.0,0.577,1.0,81.6
23.0,3,2,3,1,2,48.0,31.0,3.4,55.0,9.0,3.0,2.0,77.6,0.854,1.0,70.6
26.0,2,1,2,2,4,11.0,39.0,7.2,26.0,10.0,3.0,1.0,57.2,0.84,1.0,79.7
27.0,3,0,1,2,0,14.0,27.0,8.5,42.0,8.0,4.0,2.0,76.1,0.938,0.0,69.6
25.0,1,1,0,2,3,16.0,7.0,24.8,15.0,9.0,5.0,2.0,67.9,0.941,1.0,90.7
21.0,0,0,2,1,1,34.0,8.0,18.1,10.0,6.0,2.0,0.0,54.9,0.91,0.0,58.2
23.0,3,2,2,1,2,26.0,30.0,21.8,34.0,7.0,5.0,1.0,89.0,0.818,1.0,97.2
19.0,2,1,3,2,2,15.0,17.0,11.8,14.0,11.0,4.0,2.0,73.0,0.645,1.0,71.0
28.0,2,0,2,1,4,15.0,25.0,16.3,48.0,5.0,4.0,3.0,69.9,0.861,1.0,96.3
19.0,3,0,2,1,2,39.0,33.0,28.8,61.0,5.0,4.0,2.0,66.8,0.782,1.0,98.5
21.0,3,1,0,1,0,52.0,14.0,16.1,32.0,13.0,8.0,3.0,66.6,0.783,1.0,87.7
16.0,1,0,0,1,4,30.0,27.0,21.4,28.0,5.0,6.0,2.0,56.6,0.855,0.0,72.9
20.0,2,2,2,1,1,28.0,20.0,8.9,16.0,9.0,8.0,2.0,68.9,0.951,0.0,71.7
